,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
0,1,Barcelona,ESP,1,29,23,4,2,53,9,44,73,2.52,55.9,22.7,33.2,1.14,83148,Robert Lewandowski - 17,Marc-André ter Stegen
1,2,Napoli,ITA,1,30,24,3,3,66,21,45,75,2.5,53.2,25.3,27.9,0.93,25662,Victor Osimhen - 21,Alex Meret
2,3,Paris S-G,FRA,1,32,24,3,5,75,31,44,75,2.34,64.7,39.1,25.7,0.8,40508,Kylian Mbappé - 22,Gianluigi Donnarumma
3,4,Arsenal,ENG,1,32,23,6,3,77,34,43,75,2.34,64.1,34.7,29.4,0.92,60203,Martinelli - 15,Aaron Ramsdale
4,5,Manchester City,ENG,2,30,22,4,4,78,28,50,70,2.33,63.5,24.5,39.0,1.3,53203,Erling Haaland - 32,Ederson
5,6,Real Madrid,ESP,2,30,20,5,5,63,24,39,65,2.17,64.1,27.5,36.6,1.22,57300,Karim Benzema - 14,Thibaut Courtois
6,7,Dortmund,GER,1,29,19,3,7,66,39,27,60,2.07,52.7,37.0,15.7,0.54,81199,Julian Brandt - 8,Gregor Kobel
7,8,Atlético Madrid,ESP,3,29,18,6,5,47,21,26,60,2.07,45.2,28.9,16.3,0.56,56432,Antoine Griezmann - 11,Jan Oblak
8,9,Lens,FRA,2,32,19,9,4,54,25,29,66,2.06,56.5,35.1,21.3,0.67,35228,Loïs Openda - 17,Brice Samba
9,10,Marseille,FRA,3,31,19,7,5,57,30,27,64,2.06,53.5,37.1,16.4,0.53,58623,Alexis Sánchez - 12,Pau López
10,11,Bayern Munich,GER,2,29,17,8,4,79,33,46,59,2.03,62.7,31.8,30.8,1.06,75000,Jamal Musiala - 11,Yann Sommer
11,12,Lazio,ITA,2,31,18,7,6,49,21,28,61,1.97,39.9,33.7,6.2,0.2,22969,Ciro Immobile Mattia Zaccagni - 10,Ivan Provedel
12,13,Juventus,ITA,3,30,18,5,7,47,25,22,59,1.97,43.9,31.6,12.3,0.41,25078,Adrien Rabiot Duan Vlahovi? - 8,Wojciech Szcz?sny
13,14,Manchester Utd,ENG,3,30,18,5,7,46,37,9,59,1.97,49.3,38.7,10.5,0.35,73704,Marcus Rashford - 15,David de Gea
