club_name,abv,hex_code,logo_link
Arsenal,ARS,#EF0107,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,AVL,#95BFE5,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Bournemouth,BOU,#C91318,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
Brentford,BRE,#E30613,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Brighton,BRI,#005DAA,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Chelsea,CHE,#034694,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,CRY,#1B458F,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,EVE,#003399,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Fulham,FUL,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
Leeds United,LEE,#FFCD00,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Leicester City,LEI,#FDBE11,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,LIV,#00A398,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Manchester City,MNC,#6CABDD,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Manchester United,MNU,#DA291C,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Newcastle United,NEW,#41B6E6,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Nottingham Forest,NFC,#DD0000,https://a.espncdn.com/i/teamlogos/soccer/500/393.png
Southampton,SOU,#ed1a3b,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Tottenham Hotspur ,TOT,#0A1C56,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
West Ham,WHM,#7A263A,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolves,WOL,#FDB913,https://a.espncdn.com/i/teamlogos/soccer/500/380.png
