Pos,Team,Points,Matches Played,Goals_Scored,Goal_Difference
1,Manchester City,89,38,94,+61
2,Arsenal,84,38,88,+45
3,Manchester United,75,38,58,+15
4,Newcastle United ,71,38,68,+35
5,Liverpool,67,38,75,+28
6,Brighton,62,38,72,+29
7,Aston Villa,61,38,51,+5
8,Tottenham Hotspur,60,38,70,+7
9,Brentford,59,38,58,+12
10,Fulham,52,38,55,+2
11,Crystal Palace,45,38,40,-9
12,Chelsea,44,38,38,-9
13,Wolves,41,38,31,-27
14,West Ham,40,38,42,-13
15,Bournemouth,39,38,37,-34
16,Nottingham Forest ,38,38,38,-30
17,Everton,36,38,34,-23
18,Leicester City City,34,38,51,-17
19,Leeds United,31,38,48,-30
20,Southampton,25,38,36,-37
